customer_number,first_name,last_name,street_address,city,state,postal_code
1001-01,Kissie,Gillham,507 Warner Avenue,Indianapolis,Indiana,46254
1001-02,Randy,Beauchop,4 Sloan Junction,Saint Louis,Missouri,63150
1001-03,Nicolais,Hardey,9143 Lighthouse Bay Way,Kansas City,Missouri,64160
1001-04,Gerrie,Kurton,20 Hayes Trail,Hartford,Connecticut,6152
1001-05,Nerte,Husher,372 Larry Avenue,Des Moines,Iowa,50362
1001-06,Giles,Olliar,045 Boyd Street,Wichita,Kansas,67230
1001-07,Winnie,Boscher,640 Vidon Park,Lafayette,Indiana,47905
1001-08,Virgil,Odam,73 Victoria Circle,New York City,New York,10110
1001-09,Jeri,Eliesco,47 Lakewood Trail,Huntington,West Virginia,25721
1001-10,Erik,Folks,10672 Farwell Avenue,New Bedford,Massachusetts,2745
1001-11,Ced,Coventry,5746 Mallory Place,Las Vegas,Nevada,89130
1001-12,Vera,Hachard,1 Porter Alley,San Diego,California,92176
1001-13,Irvin,Parrott,198 John Wall Alley,Pomona,California,91797
1001-14,Trix,Simeons,1 Veith Alley,New York City,New York,10165
1001-15,Major,Frankcomb,134 Canary Circle,West Palm Beach,Florida,33405
1001-16,Lezley,Eliyahu,361 Ryan Drive,Boston,Massachusetts,2208
1001-17,Dulcea,Such,467 Melvin Court,Jacksonville,Florida,32230
1001-18,Jacquette,Jell,4 Mcguire Junction,Charleston,West Virginia,25356
1001-19,Amitie,Igglesden,7 Sutteridge Road,Pompano Beach,Florida,33075
1001-20,Anastasia,Meikle,9 Petterle Terrace,West Palm Beach,Florida,33416
1001-21,Rutger,Huburn,87 Fallview Pass,Myrtle Beach,South Carolina,29579
1001-22,Ruth,Ludron,7601 Erie Point,Tulsa,Oklahoma,74108
1001-23,Rosaline,Jeffes,6864 Hallows Lane,Long Beach,California,90810
1001-24,Ethelind,Gribbins,4 Dorton Avenue,Tulsa,Oklahoma,74170
1001-25,Stephi,Aliman,65 Sullivan Plaza,Jefferson City,Missouri,65105
1001-26,Pier,Mosdall,85388 Bobwhite Road,Riverside,California,92513
1001-27,Marshall,August,621 Sauthoff Alley,Birmingham,Alabama,35225
1001-28,Dottie,Wolfinger,57 Eastlawn Junction,Bronx,New York,10464
1001-29,Almira,Pockey,90799 Packers Hill,Santa Ana,California,92705
1001-30,Konstantine,Claasen,0815 Dayton Place,Lubbock,Texas,79415
1001-31,Alexandrina,Wellings,40 Green Ridge Point,Springfield,Massachusetts,1114
1001-32,Jasen,Trayton,9014 Kenwood Hill,Sacramento,California,94237
1001-33,Vicky,Beteriss,29 Kennedy Drive,Burbank,California,91505
1001-34,Celeste,Bleier,592 Shelley Plaza,Milwaukee,Wisconsin,53220
1001-35,Emmy,Stert,9014 Starling Avenue,Chicago,Illinois,60669
1001-36,Eada,Hirjak,98175 Upham Place,Toledo,Ohio,43699
1001-37,Faustina,Sanja,675 Prairieview Junction,Pittsburgh,Pennsylvania,15261
1001-38,Koressa,Beddow,50971 Eggendart Street,Anderson,South Carolina,29625
1001-39,Claudio,Cant,9933 Red Cloud Pass,Washington,District of Columbia,20244
1001-40,Suzie,Waldren,56 Claremont Avenue,Billings,Montana,59112
1001-41,Ralina,Pottinger,74 Coleman Crossing,Fresno,California,93778
1001-42,Kory,Domnin,16829 Dexter Point,Philadelphia,Pennsylvania,19131
1001-43,Davida,Lorence,59 Johnson Lane,Hattiesburg,Mississippi,39404
1001-44,Verile,Barbie,7 High Crossing Avenue,Cincinnati,Ohio,45218
1001-45,Will,Ulster,91 Dixon Trail,San Mateo,California,94405
1001-46,Cloris,Stanbury,48 Walton Court,Montgomery,Alabama,36134
1001-47,Pate,Frew,7 Laurel Court,Bakersfield,California,93381
1001-48,Maurise,Neely,9388 Tennessee Parkway,Mobile,Alabama,36689
1001-49,Adolphus,Prahm,75952 Fuller Road,Saint Louis,Missouri,63116
1001-50,Katusha,Chaffyn,613 Waxwing Crossing,Corpus Christi,Texas,78465
1001-51,Giulietta,Tremble,802 Harper Road,Houston,Texas,77025
1001-52,Tynan,Logue,5879 Melby Hill,Los Angeles,California,90040
1001-53,Ivan,Yeo,9 Russell Avenue,Santa Fe,New Mexico,87505
